ncl,      ids,    yr,   mo, day, hr, min, sec,   lat0,   lon0, mag, lat, lon, x, y, x1, y1, a, b, theta, sigma
1,2,2017,9,23,4,42,59.6947,41.35,129.06,2.5,41.37246,129.04767,-0.24872,-0.26802,-0.26136,-0.28904,0.067,0.02,287,0.008
1,3,2017,9,23,8,29,16.5023,41.3,129.04,3.3,41.37151,129.04721,-0.28752,-0.37311,-0.3002,-0.39412,0.042,0.012,287,0.004
1,4,2017,10,12,16,41,8.0666,41.38,129.05,2.9,41.37293,129.04812,-0.21182,-0.21534,-0.22445,-0.23637,0.039,0.012,287,0.005
1,5,2017,12,1,22,45,56.429,41.31,129.11,2.2,41.37367,129.05104,0.03174,-0.13292,0.01924,-0.154,0.033,0.011,288,0.004
1,6,2017,12,5,14,40,53.4144,41.32,129.13,2.7,41.37413,129.0511,0.0367,-0.08161,0.0242,-0.10267,0.052,0.015,286,0.007
1,7,2017,12,5,19,55,54.1473,41.32,129.13,2.1,41.37455,129.04988,-0.06466,-0.03496,-0.07689,-0.05609,0.033,0.008,284,0.002
1,8,2017,12,9,6,13,33.2912,41.32,129.1,3,41.37625,129.0522,0.12904,0.15333,0.1166,0.13224,0.05,0.014,287,0.009
1,9,2017,12,9,6,40,2.3242,41.31,129.11,2.6,41.37637,129.05181,0.09635,0.16684,0.08391,0.14575,0.099,0.027,288,0.011
1,10,2018,2,6,10,53,53.1597,41.33,129.1,2.6,41.37606,129.05177,0.09272,0.13204,0.11271,0.16574,0.15,0.031,285,0.014
1,11,2018,2,7,21,46,1.1494,41.32,129.09,2.9,41.37595,129.05327,0.2182,0.12022,0.23824,0.15392,0.105,0.028,288,0.013
1,12,2018,2,7,21,46,24.0165,41.32,129.09,3,41.37672,129.05256,0.15897,0.20635,0.17908,0.24003,0.088,0.019,287,0.011
1,13,2018,2,8,17,39,17.6746,41.32,129.09,2.2,41.37644,129.05028,-0.03117,0.17462,-0.01124,0.20834,0.053,0.011,285,0.005
1,14,2018,4,22,19,31,18.8702,41.32,129.1,2.3,41.37624,129.05162,0.08016,0.15256,0.10015,0.18627,0.08,0.034,286,0.013
